scene_id,Weather,Time of Day,Same direction Vehicle Traffic,Road Type,Oncoming vehicle traffic,Cross vehicle traffic,Pedestrian crossing road,Pedestrian on sidewalk,Cyclists / motorbike present,Large Exposure Change,Traffic Light Change,Changing brake light / indicator
scene_001,Overcast,Day,Yes,Urban,Yes,No,No,Yes,Yes,No,Yes,Yes
scene_002,Rainy,Day,No,Urban,Yes,No,Yes,Yes,No,No,Yes,No
scene_003,Sunny,Day,Yes,Urban,Yes,No,No,No,No,Yes,No,Yes
scene_004,Overcast,Day,No,Residential,No,No,No,Yes,No,No,No,No
scene_005,Overcast,Day,Yes,Urban,Yes,Yes,No,Yes,Yes,No,No,Yes
scene_006,Sunny,Day,Yes,Urban,Yes,No,No,No,No,No,No,No
scene_007,Sunny,Day,Yes,Urban,Yes,Yes,No,Yes,No,Yes,Yes,Yes
scene_008,Sunny,Day,Yes,Residential,Yes,Yes,No,Yes,No,Yes,No,No
scene_009,Sunny,Day,Yes,Urban,Yes,No,No,Yes,No,Yes,Yes,Yes
scene_010,Sunny,Day,Yes,Urban,Yes,No,No,No,No,Yes,No,Yes
scene_011,Sunny,Day,Yes,Residential,Yes,No,No,No,No,Yes,No,No
scene_012,Overcast,Day,Yes,Urban,Yes,No,No,Yes,Yes,No,Yes,No
scene_013,Sunny,Day,No,Residential,No,No,No,No,No,Yes,No,No
scene_014,Sunny,Day,Yes,Rural,Yes,No,No,No,No,Yes,No,Yes
scene_015,Sunny,Day,Yes,Residential,Yes,Yes,No,Yes,No,Yes,No,Yes
scene_016,Overcast,Day,Yes,Rural,No,No,No,No,No,No,No,No
scene_017,Sunny,Day,No,Highway,Yes,No,No,No,No,Yes,No,No
scene_018,Sunny,Day,Yes,Residential,Yes,No,Yes,No,No,Yes,No,No
scene_019,Sunny,Day,No,Urban,No,Yes,No,No,No,Yes,No,No
scene_020,Sunny,Day,No,Urban,No,Yes,No,No,Yes,No,No,No
scene_021,Sunny,Day,Yes,Urban,No,Yes,Yes,Yes,No,No,No,Yes
scene_022,Sunny,Day,Yes,Residential,Yes,Yes,No,No,No,No,No,Yes
scene_023,Sunny,Day,Yes,Rural,Yes,No,No,No,No,Yes,No,No
scene_024,Overcast,Dusk,No,Urban,No,No,Yes,Yes,Yes,No,No,No
scene_025,Sunny,Day,No,Urban,No,Yes,Yes,Yes,No,Yes,No,No
scene_026,Sunny,Day,No,Urban,No,No,Yes,Yes,No,No,No,No
scene_027,Rainy,Day,Yes,Rural,Yes,No,No,No,No,No,No,No
scene_028,Sunny,Day,Yes,Residential,Yes,Yes,No,No,No,No,No,No
scene_029,Sunny,Day,Yes,Highway,Yes,No,No,No,No,No,No,No
scene_030,Overcast,Day,Yes,Urban,Yes,Yes,Yes,Yes,Yes,No,No,Yes
scene_031,Overcast,Day,No,Residential,Yes,No,No,No,No,No,No,No
scene_032,Sunny,Day,Yes,Urban,No,Yes,No,Yes,No,Yes,No,Yes
scene_033,Sunny,Day,Yes,Residential,Yes,No,No,No,No,Yes,No,No
scene_034,Overcast,Day,Yes,Residential,Yes,No,No,Yes,Yes,No,No,No
scene_035,Sunny,Day,Yes,Residential,Yes,No,No,No,No,Yes,No,Yes
scene_036,Overcast,Day,No,Urban,No,Yes,No,No,No,No,No,No
